sector,sex,name,total
Jewish,F,עינה,154
Jewish,M,עמיקם,381
Jewish,F,ציון,233
Christian,M,נימר,171
Jewish,F,גילה,5921
Muslim,F,יאסמינה,138
Muslim,F,פרח,2167
Muslim,F,זוהרה,191
Druze,F,פאתן,167
Druze,F,רוז,186
Muslim,M,איחסאן,457
Muslim,F,יאנה,102
Muslim,F,בתול,523
Muslim,F,נגיה,115
Jewish,M,תבל,251
Jewish,F,שקמה,207
Jewish,M,איב,193
Christian,F,גזל,108
Jewish,M,בן-אל,107
Other,M,אילן,463
Muslim,F,גמילה,1292
Druze,F,נורה,174
Jewish,F,תמר,39930
Druze,F,היבא,336
Jewish,F,חוה,8151
Christian,F,ראניה,309
Jewish,M,דור,10264
Jewish,M,עירד,181
Muslim,F,אלמא,1033
Jewish,M,עירא,195
Druze,F,לוזאן,128
Jewish,F,לינדה,511
Jewish,F,נדין,156
